vx11-switch-test  | INFO:     Started server process [1]
vx11-switch-test  | INFO:     Waiting for application startup.
vx11-switch-test  | Modelo local_gguf_small no disponible en Hermes
vx11-switch-test  | Modelo ollama_local no disponible en Hermes
vx11-switch-test  | Modelo deepseek_r1 no disponible en Hermes
vx11-switch-test  | INFO:     Application startup complete.
vx11-switch-test  | INFO:     Uvicorn running on http://0.0.0.0:8002 (Press CTRL+C to quit)
vx11-switch-test  | INFO:     127.0.0.1:36568 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:55658 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:52810 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:46970 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:43890 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:39266 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:55378 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:36370 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:37506 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:49158 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:41926 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:43394 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:56804 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:44244 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:45152 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:45198 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:50444 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:48248 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:55664 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:40840 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:51322 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:38258 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:41854 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:55686 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47186 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:56336 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:39512 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:55192 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:44616 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:57826 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:43878 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47612 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:51256 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:50130 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:58012 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:42888 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:40018 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:33702 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:60760 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:46108 - "GET /health HTTP/1.1" 200 OK
