vx11-hermes-test  | INFO:     Started server process [1]
vx11-hermes-test  | INFO:     Waiting for application startup.
vx11-hermes-test  | INFO:     Application startup complete.
vx11-hermes-test  | INFO:     Uvicorn running on http://0.0.0.0:8003 (Press CTRL+C to quit)
vx11-hermes-test  | INFO:     172.18.0.7:43532 - "POST /hermes/get-engine HTTP/1.1" 500 Internal Server Error
vx11-hermes-test  | INFO:     172.18.0.7:43540 - "POST /hermes/get-engine HTTP/1.1" 500 Internal Server Error
vx11-hermes-test  | INFO:     172.18.0.7:43552 - "POST /hermes/get-engine HTTP/1.1" 500 Internal Server Error
vx11-hermes-test  | INFO:     172.18.0.7:43566 - "POST /hermes/execute HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:47082 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:52694 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:55622 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:43494 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:51356 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:47700 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:54220 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     172.18.0.4:43128 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     172.18.0.4:44326 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:47246 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:60218 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:55996 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:51538 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:36472 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:34210 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:50858 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:42118 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:56640 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:49530 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:59808 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:44652 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:56864 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:53920 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:39244 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:54970 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:45792 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:60080 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:56038 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:56276 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:35540 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:48898 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:59924 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:42138 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:59712 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:39842 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:45306 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:59456 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:52336 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:46962 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:34368 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:35650 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:47996 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:52618 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:49352 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:47794 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:46536 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:59596 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:46688 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:38118 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:56212 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:45528 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:33330 - "GET /health HTTP/1.1" 200 OK
