vx11-spawner-test  | INFO:     127.0.0.1:53508 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:41450 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:41920 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:38024 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:38506 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:59670 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:33844 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:37378 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:54112 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:56012 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:55360 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:56292 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:40768 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:37214 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:59782 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:55942 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:41544 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:57944 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:39154 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:33478 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:41726 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:50232 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:60498 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:50394 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:32988 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:56838 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:58868 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:44328 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:43592 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:52014 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:60446 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:38518 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:50078 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:49284 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:42550 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:42724 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:41954 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:43888 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:35550 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:50124 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:41342 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:41432 - "GET /health HTTP/1.1" 200 OK
