vx11-tentaculo-link-test  | INFO:     172.18.0.1:58778 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:58786 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:53174 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:33554 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52982 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52988 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:41272 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:54522 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:54534 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:49408 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:52942 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:33984 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:33998 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:52728 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52836 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52844 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:40922 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:33442 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:41068 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:41072 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:37152 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:40040 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:40048 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:50520 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:44298 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:44304 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:42150 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:41492 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52254 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52266 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:35468 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:39378 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:39388 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:54366 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:59482 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52800 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52816 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:55548 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52950 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52962 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:51410 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:58942 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:58748 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:58756 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:44080 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:43234 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:43244 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:41050 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:33506 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:57988 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:57996 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:45970 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:56392 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:56398 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:59086 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:47910 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:50572 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:50574 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:33138 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:32888 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:32896 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:35266 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:46486 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:37618 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:37632 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:42326 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:35760 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:35768 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
